DATE,CLOSE
20/10/2011,25.7
21/10/2011,26.6
24/10/2011,26.5
25/10/2011,26.3
26/10/2011,26.5
27/10/2011,26.5
28/10/2011,26.5
31/10/2011,26.2
01/11/2011,26.1
02/11/2011,25.8
03/11/2011,25.5
04/11/2011,25.4
07/11/2011,24.7
08/11/2011,24.4
09/11/2011,23.8
10/11/2011,23.5
11/11/2011,23.3
14/11/2011,23
15/11/2011,23
16/11/2011,23.9
17/11/2011,24.3
18/11/2011,24.2
21/11/2011,23.6
22/11/2011,23.8
23/11/2011,23.9
24/11/2011,23.9
25/11/2011,23.6
28/11/2011,23.2
29/11/2011,22.7
30/11/2011,22.2
01/12/2011,22.2
02/12/2011,22.5
05/12/2011,22.7
06/12/2011,22.2
07/12/2011,22
08/12/2011,21.4
09/12/2011,21.1
12/12/2011,20.6
13/12/2011,20.6
14/12/2011,20.2
15/12/2011,20
16/12/2011,21
19/12/2011,22
20/12/2011,21.3
21/12/2011,21.7
22/12/2011,20.7
23/12/2011,20.4
26/12/2011,19.7
27/12/2011,19.4
28/12/2011,20.3
29/12/2011,21
30/12/2011,21.8
03/01/2012,20.8
04/01/2012,20.3
05/01/2012,20.2
06/01/2012,19.8
09/01/2012,20.4
10/01/2012,20.6
11/01/2012,20.6
12/01/2012,21
13/01/2012,21.1
16/01/2012,21.5
17/01/2012,21.4
18/01/2012,21.7
19/01/2012,22.7
20/01/2012,23.1
30/01/2012,24.2
31/01/2012,24.4
01/02/2012,23.8
02/02/2012,24.9
03/02/2012,24.5
06/02/2012,24.3
07/02/2012,24.5
08/02/2012,25.5
09/02/2012,25.2
10/02/2012,24.6
13/02/2012,24.2
14/02/2012,25.2
15/02/2012,25
16/02/2012,25
17/02/2012,25.5
20/02/2012,26.7
21/02/2012,26.9
22/02/2012,28.1
23/02/2012,28.5
24/02/2012,28.1
27/02/2012,28.3
28/02/2012,27.5
29/02/2012,27.2
01/03/2012,28.4
02/03/2012,29
05/03/2012,30.4
06/03/2012,28.9
07/03/2012,28.9
08/03/2012,27.5
09/03/2012,27.9
12/03/2012,26.8
13/03/2012,27.3
14/03/2012,27.7
15/03/2012,28.3
16/03/2012,27
19/03/2012,28.3
20/03/2012,29.7
21/03/2012,29.8
22/03/2012,30
23/03/2012,29.6
26/03/2012,29.5
27/03/2012,28.5
28/03/2012,29
29/03/2012,28.7
30/03/2012,29
03/04/2012,29.1
04/04/2012,28.9
05/04/2012,28.9
06/04/2012,28.8
09/04/2012,28.8
10/04/2012,29.2
11/04/2012,29.6
12/04/2012,30.8
13/04/2012,31.2
16/04/2012,32.6
17/04/2012,34.2
18/04/2012,33.8
19/04/2012,33.5
20/04/2012,32.9
23/04/2012,32.8
24/04/2012,32.6
25/04/2012,32.6
26/04/2012,32.5
27/04/2012,33
02/05/2012,33
03/05/2012,32.8
04/05/2012,33.1
07/05/2012,33.7
08/05/2012,33.7
09/05/2012,34.2
10/05/2012,35.3
11/05/2012,36.3
14/05/2012,37
15/05/2012,35.2
16/05/2012,34
17/05/2012,32.5
18/05/2012,32
21/05/2012,32.8
22/05/2012,32
23/05/2012,30.4
24/05/2012,29.2
25/05/2012,30.6
28/05/2012,30.6
29/05/2012,29.7
30/05/2012,30.1
31/05/2012,29.5
01/06/2012,29.6
04/06/2012,28.2
05/06/2012,28.7
06/06/2012,29.4
07/06/2012,30.1
08/06/2012,30.1
11/06/2012,29.6
12/06/2012,29.4
13/06/2012,29.6
14/06/2012,29.2
15/06/2012,29.9
18/06/2012,30.3
19/06/2012,29.4
20/06/2012,29.8
21/06/2012,29.9
22/06/2012,29.6
25/06/2012,29.4
26/06/2012,28.8
27/06/2012,28.8
28/06/2012,29.2
29/06/2012,29.5
02/07/2012,29.3
03/07/2012,28.1
04/07/2012,28.1
05/07/2012,28.6
06/07/2012,28.5
09/07/2012,28
10/07/2012,27.8
11/07/2012,28
12/07/2012,28
13/07/2012,28.6
16/07/2012,28.3
17/07/2012,28.3
18/07/2012,28.4
19/07/2012,29.4
20/07/2012,28.7
23/07/2012,28.7
24/07/2012,28.2
25/07/2012,28.2
26/07/2012,28.2
27/07/2012,28.2
30/07/2012,27.9
31/07/2012,27.9
01/08/2012,27.5
02/08/2012,27.5
03/08/2012,27.5
06/08/2012,27.6
07/08/2012,27.8
08/08/2012,27.9
09/08/2012,28.2
10/08/2012,27.8
13/08/2012,27.7
14/08/2012,28.1
15/08/2012,27.9
16/08/2012,27.8
17/08/2012,28
20/08/2012,28.4
21/08/2012,27
22/08/2012,26.4
23/08/2012,25.1
24/08/2012,26.1
27/08/2012,24.8
28/08/2012,25
29/08/2012,25.5
30/08/2012,25.6
31/08/2012,24.8
04/09/2012,25.2
05/09/2012,25.2
06/09/2012,25.2
07/09/2012,25.4
10/09/2012,24.2
11/09/2012,24
12/09/2012,24.2
13/09/2012,25
14/09/2012,26.1
17/09/2012,27.1
18/09/2012,25.8
19/09/2012,25.6
20/09/2012,24.8
21/09/2012,25.5
24/09/2012,24.8
25/09/2012,24.9
26/09/2012,25.1
27/09/2012,25.1
28/09/2012,24.6
01/10/2012,23.9
02/10/2012,23.8
03/10/2012,24
04/10/2012,24.1
05/10/2012,24.5
08/10/2012,24.9
09/10/2012,24.8
10/10/2012,24.7
11/10/2012,24.7
12/10/2012,24.4
15/10/2012,24
16/10/2012,24.4
17/10/2012,24
18/10/2012,24.1
19/10/2012,23.9
22/10/2012,24.1
23/10/2012,24.1
24/10/2012,24.1
25/10/2012,23.9
26/10/2012,23.9
29/10/2012,23.8
30/10/2012,23.6
31/10/2012,23.3
01/11/2012,23.1
02/11/2012,22
05/11/2012,21.4
06/11/2012,21
07/11/2012,22
08/11/2012,23.1
09/11/2012,23.5
12/11/2012,23.4
13/11/2012,23
14/11/2012,23.6
15/11/2012,24.2
16/11/2012,23.8
19/11/2012,23.5
20/11/2012,23.4
21/11/2012,23.4
22/11/2012,23.3
23/11/2012,23.1
26/11/2012,22.8
27/11/2012,22.8
28/11/2012,22.9
29/11/2012,23.4
30/11/2012,23.3
03/12/2012,23.3
04/12/2012,23.9
05/12/2012,24.8
06/12/2012,25.2
07/12/2012,24.7
10/12/2012,24.7
11/12/2012,25.2
12/12/2012,25.4
13/12/2012,25.4
14/12/2012,25
17/12/2012,26.2
18/12/2012,26.8
19/12/2012,26.6
20/12/2012,26.4
21/12/2012,26
24/12/2012,26.1
25/12/2012,26.6
26/12/2012,26.7
27/12/2012,27.1
28/12/2012,27.2
02/01/2013,27.8
03/01/2013,28.5
04/01/2013,29.2
07/01/2013,30
08/01/2013,31.5
09/01/2013,31.7
10/01/2013,32.5
11/01/2013,32.1
14/01/2013,31.9
15/01/2013,32
16/01/2013,32.1
17/01/2013,31.5
18/01/2013,31.6
21/01/2013,31.1
22/01/2013,30.6
23/01/2013,30.4
24/01/2013,31
25/01/2013,32.5
28/01/2013,32.8
29/01/2013,34
30/01/2013,34.3
31/01/2013,34
01/02/2013,34.3
04/02/2013,33.7
05/02/2013,33.7
06/02/2013,34.5
07/02/2013,34.5
08/02/2013,34.5
18/02/2013,34.3
19/02/2013,33.9
20/02/2013,34.1
21/02/2013,32
22/02/2013,32.7
25/02/2013,33.5
26/02/2013,30.9
27/02/2013,30.9
28/02/2013,32.3
01/03/2013,32.4
04/03/2013,32.1
05/03/2013,31.6
06/03/2013,32.2
07/03/2013,32.2
08/03/2013,32.3
11/03/2013,32.2
12/03/2013,32.3
13/03/2013,32.5
14/03/2013,32
15/03/2013,32.9
18/03/2013,32.6
19/03/2013,32.1
20/03/2013,32.3
21/03/2013,32.2
22/03/2013,31.8
25/03/2013,32
26/03/2013,31.8
27/03/2013,32.3
28/03/2013,32
29/03/2013,32
01/04/2013,32
02/04/2013,32.2
03/04/2013,32
04/04/2013,31.7
05/04/2013,31.1
08/04/2013,31.5
09/04/2013,31.2
10/04/2013,29.1
11/04/2013,29.5
12/04/2013,28.7
15/04/2013,27.3
16/04/2013,28
17/04/2013,28.2
18/04/2013,27.3
22/04/2013,26.7
23/04/2013,27
24/04/2013,26.6
25/04/2013,27.4
26/04/2013,27.4
02/05/2013,27.2
03/05/2013,27.2
06/05/2013,28
07/05/2013,27.9
08/05/2013,28.1
09/05/2013,27.8
10/05/2013,27.5
13/05/2013,27.8
14/05/2013,27.2
15/05/2013,27.9
16/05/2013,29.4
17/05/2013,28.6
20/05/2013,29.4
21/05/2013,29.5
22/05/2013,29.5
23/05/2013,28.6
24/05/2013,28.5
27/05/2013,29.5
28/05/2013,29.7
29/05/2013,29.6
30/05/2013,30.7
31/05/2013,30.9
03/06/2013,31
04/06/2013,30.2
05/06/2013,30.6
06/06/2013,31.3
07/06/2013,32
10/06/2013,31.7
11/06/2013,31.3
12/06/2013,30.5
13/06/2013,30.9
14/06/2013,30.6
17/06/2013,30.8
18/06/2013,31
19/06/2013,31
20/06/2013,30.9
21/06/2013,30.8
24/06/2013,29.5
25/06/2013,27.7
26/06/2013,27
27/06/2013,27.6
28/06/2013,28
01/07/2013,27.4
02/07/2013,27.8
03/07/2013,27.4
04/07/2013,27.4
05/07/2013,27.5
08/07/2013,27.6
09/07/2013,27.6
10/07/2013,27.3
11/07/2013,27.5
12/07/2013,27.8
15/07/2013,27.8
16/07/2013,27.7
17/07/2013,27.7
18/07/2013,27.6
19/07/2013,28
22/07/2013,27.9
23/07/2013,28.3
24/07/2013,27.6
25/07/2013,27.5
26/07/2013,27.5
29/07/2013,27
30/07/2013,27.2
31/07/2013,26.8
01/08/2013,26.7
02/08/2013,27
05/08/2013,27.1
06/08/2013,27.4
07/08/2013,27.1
08/08/2013,26.9
09/08/2013,26.9
12/08/2013,26.8
13/08/2013,26.6
14/08/2013,26.7
15/08/2013,27
16/08/2013,27
19/08/2013,26.9
20/08/2013,26.7
21/08/2013,26.8
22/08/2013,26.1
23/08/2013,25.2
26/08/2013,25.2
27/08/2013,25.1
28/08/2013,24.6
29/08/2013,23.3
30/08/2013,24.7
03/09/2013,23.7
04/09/2013,23.6
05/09/2013,24.1
06/09/2013,24.5
09/09/2013,23.7
10/09/2013,23.9
